,"country","description","designation","points","price","province","region_1","region_2","taster_name","taster_twitter_handle","title","variety","winery"
0,"Italy","Aromas include tropical fruit, broom, brimstone and dried herb. The palate isn't overly expressive, offering unripened apple, citrus and dried sage alongside brisk acidity.","Vulkà Bianco",87,,"Sicily & Sardinia","Etna",,"Kerin O’Keefe","@kerinokeefe","Nicosia 2013 Vulkà Bianco  (Etna)","White Blend","Nicosia"
1,"Portugal","This is ripe and fruity, a wine that is smooth while still structured. Firm tannins are filled out with juicy red berry fruits and freshened with acidity. It's  already drinkable, although it will certainly be better from 2016.","Avidagos",87,15,"Douro",,,"Roger Voss","@vossroger","Quinta dos Avidagos 2011 Avidagos Red (Douro)","Portuguese Red","Quinta dos Avidagos"
2,"US","Tart and snappy, the flavors of lime flesh and rind dominate. Some green pineapple pokes through, with crisp acidity underscoring the flavors. The wine was all stainless-steel fermented.",,87,14,"Oregon","Willamette Valley","Willamette Valley","Paul Gregutt","@paulgwine ","Rainstorm 2013 Pinot Gris (Willamette Valley)","Pinot Gris","Rainstorm"
3,"US","Pineapple rind, lemon pith and orange blossom start off the aromas. The palate is a bit more opulent, with notes of honey-drizzled guava and mango giving way to a slightly astringent, semidry finish.","Reserve Late Harvest",87,13,"Michigan","Lake Michigan Shore",,"Alexander Peartree",,"St. Julian 2013 Reserve Late Harvest Riesling (Lake Michigan Shore)","Riesling","St. Julian"
4,"US","Much like the regular bottling from 2012, this comes across as rather rough and tannic, with rustic, earthy, herbal characteristics. Nonetheless, if you think of it as a pleasantly unfussy country wine, it's a good companion to a hearty winter stew.","Vintner's Reserve Wild Child Block",87,65,"Oregon","Willamette Valley","Willamette Valley","Paul Gregutt","@paulgwine ","Sweet Cheeks 2012 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley)","Pinot Noir","Sweet Cheeks"
5,"Spain","Blackberry and raspberry aromas show a typical Navarran whiff of green herbs and, in this case, horseradish. In the mouth, this is fairly full bodied, with tomatoey acidity. Spicy, herbal flavors complement dark plum fruit, while the finish is fresh but grabby.","Ars In Vitro",87,15,"Northern Spain","Navarra",,"Michael Schachner","@wineschach","Tandem 2011 Ars In Vitro Tempranillo-Merlot (Navarra)","Tempranillo-Merlot","Tandem"
6,"Italy","Here's a bright, informal red that opens with aromas of candied berry, white pepper and savory herb that carry over to the palate. It's balanced with fresh acidity and soft tannins.","Belsito",87,16,"Sicily & Sardinia","Vittoria",,"Kerin O’Keefe","@kerinokeefe","Terre di Giurfo 2013 Belsito Frappato (Vittoria)","Frappato","Terre di Giurfo"
7,"France","This dry and restrained wine offers spice in profusion. Balanced with acidity and a firm texture, it's very much for food.",,87,24,"Alsace","Alsace",,"Roger Voss","@vossroger","Trimbach 2012 Gewurztraminer (Alsace)","Gewürztraminer","Trimbach"
8,"Germany","Savory dried thyme notes accent sunnier flavors of preserved peach in this brisk, off-dry wine. It's fruity and fresh, with an elegant, sprightly footprint.","Shine",87,12,"Rheinhessen",,,"Anna Lee C. Iijima",,"Heinz Eifel 2013 Shine Gewürztraminer (Rheinhessen)","Gewürztraminer","Heinz Eifel"
9,"France","This has great depth of flavor with its fresh apple and pear fruits and touch of spice. It's off dry while balanced with acidity and a crisp texture. Drink now.","Les Natures",87,27,"Alsace","Alsace",,"Roger Voss","@vossroger","Jean-Baptiste Adam 2012 Les Natures Pinot Gris (Alsace)","Pinot Gris","Jean-Baptiste Adam"
10,"US","Soft, supple plum envelopes an oaky structure in this Cabernet, supported by 15% Merlot. Coffee and chocolate complete the picture, finishing strong at the end, resulting in a value-priced wine of attractive flavor and immediate accessibility.","Mountain Cuvée",87,19,"California","Napa Valley","Napa","Virginie Boone","@vboone","Kirkland Signature 2011 Mountain Cuvée Cabernet Sauvignon (Napa Valley)","Cabernet Sauvignon","Kirkland Signature"
11,"France","This is a dry wine, very spicy, with a tight, taut texture and strongly mineral character layered with citrus as well as pepper. It's a food wine with its almost crisp aftertaste.",,87,30,"Alsace","Alsace",,"Roger Voss","@vossroger","Leon Beyer 2012 Gewurztraminer (Alsace)","Gewürztraminer","Leon Beyer"
12,"US","Slightly reduced, this wine offers a chalky, tannic backbone to an otherwise juicy explosion of rich black cherry, the whole accented throughout by firm oak and cigar box.",,87,34,"California","Alexander Valley","Sonoma","Virginie Boone","@vboone","Louis M. Martini 2012 Cabernet Sauvignon (Alexander Valley)","Cabernet Sauvignon","Louis M. Martini"
13,"Italy","This is dominated by oak and oak-driven aromas that include roasted coffee bean, espresso, coconut and vanilla that carry over to the palate, together with plum and chocolate. Astringent, drying tannins give it a rather abrupt finish.","Rosso",95,,"Sicily & Sardinia","Etna",,"Kerin O’Keefe","@kerinokeefe","Masseria Setteporte 2012 Rosso  (Etna)","Nerello Mascalese","Masseria Setteporte"
14,"US","Building on 150 years and six generations of winemaking tradition, the winery trends toward a leaner style, with the classic California buttercream aroma cut by tart green apple. In this good everyday sipping wine, flavors that range from pear to barely ripe pineapple prove approachable but not distinctive.",,87,12,"California","Central Coast","Central Coast","Matt Kettmann","@mattkettmann","Mirassou 2012 Chardonnay (Central Coast)","Chardonnay","Mirassou"
15,"Germany","Zesty orange peels and apple notes abound in this sprightly, mineral-toned Riesling. Off dry on the palate, yet racy and lean, it's a refreshing, easy quaffer with wide appeal.","Devon",87,24,"Mosel",,,"Anna Lee C. Iijima",,"Richard Böcking 2013 Devon Riesling (Mosel)","Riesling","Richard Böcking"
